step,stage,machine_id,machine_age,in_maintenance,maintenance_timer,failed,buffer_level,wips_in_machine,wips_held,action,reward
22,1,2,8.0,0,0,0,100,100,0,0,-2000.0
22,1,3,0.0,1,1,0,100,0,0,1,-2000.0
23,0,0,1.0,0,0,0,1000,100,0,1,-0.0
23,0,1,4.0,0,0,0,1000,100,0,0,-0.0
23,1,2,9.0,0,0,0,0,100,0,0,-0.0
23,1,3,1.0,0,0,0,0,100,0,1,-0.0
24,0,0,0.0,1,2,0,900,0,0,1,-6000.0
24,0,1,5.0,0,0,0,900,100,0,0,-6000.0
24,1,2,10.0,0,0,0,0,100,0,0,-6000.0
24,1,3,2.0,0,0,0,0,100,0,0,-6000.0
25,0,0,0.0,1,1,0,900,0,0,1,-13000.0
25,0,1,0.0,1,2,0,900,0,0,1,-13000.0
25,1,2,0.0,1,2,0,0,0,0,1,-13000.0
25,1,3,3.0,0,0,0,0,100,0,0,-13000.0
26,0,0,1.0,0,0,0,800,100,0,0,-8000.0
26,0,1,0.0,1,1,0,800,0,0,0,-8000.0
26,1,2,0.0,1,1,0,0,0,0,1,-8000.0
26,1,3,0.0,1,2,0,0,0,0,1,-8000.0
27,0,0,0.0,1,2,0,1400,0,0,1,-12650.0
27,0,1,1.0,0,0,0,1400,100,0,0,-12650.0
27,1,2,1.0,0,0,0,0,100,0,1,-12650.0
27,1,3,0.0,1,1,0,0,0,0,0,-12650.0
28,0,0,0.0,1,1,0,1400,0,0,0,-8000.0
28,0,1,0.0,1,2,0,1400,0,0,1,-8000.0
28,1,2,2.0,0,0,0,0,100,0,0,-8000.0
28,1,3,0.0,0,0,0,0,0,0,1,-8000.0
29,0,0,1.0,0,0,0,1300,100,0,1,-3000.0
29,0,1,0.0,1,1,0,1300,0,0,1,-3000.0
29,1,2,2.0,0,0,0,0,0,0,0,-3000.0
29,1,3,0.0,0,0,0,0,0,0,0,-3000.0
30,0,0,0.0,1,2,0,1200,0,0,1,-7000.0
30,0,1,1.0,0,0,0,1200,100,0,0,-7000.0
30,1,2,3.0,0,0,0,0,100,0,0,-7000.0
30,1,3,0.0,0,0,0,0,0,0,0,-7000.0
31,0,0,0.0,1,1,0,1100,0,0,0,-7000.0
31,0,1,2.0,0,0,0,1100,100,0,0,-7000.0
31,1,2,4.0,0,0,0,0,100,0,0,-7000.0
31,1,3,0.0,1,2,0,0,0,0,1,-7000.0
32,0,0,1.0,0,0,0,900,100,0,0,-1000.0
32,0,1,3.0,0,0,0,900,100,0,0,-1000.0
32,1,2,5.0,0,0,0,0,100,0,0,-1000.0
32,1,3,0.0,1,1,0,0,0,0,0,-1000.0
33,0,0,0.0,1,2,0,800,0,0,1,-6000.0
33,0,1,4.0,0,0,0,800,100,0,0,-6000.0
33,1,2,6.0,0,0,0,0,100,0,0,-6000.0
33,1,3,1.0,0,0,0,0,100,0,1,-6000.0
34,0,0,0.0,1,1,0,1400,0,0,0,-19330.0
34,0,1,0.0,1,2,0,1400,0,0,1,-19330.0
34,1,2,0.0,1,2,0,0,0,0,1,-19330.0
34,1,3,2.0,0,0,0,0,100,0,0,-19330.0
35,0,0,1.0,0,0,0,1300,100,0,1,-8000.0
35,0,1,0.0,1,1,0,1300,0,0,0,-8000.0
35,1,2,0.0,1,1,0,0,0,0,1,-8000.0
35,1,3,0.0,1,2,0,0,0,0,1,-8000.0
36,0,0,2.0,0,0,0,1100,100,0,0,-1000.0
36,0,1,1.0,0,0,0,1100,100,0,0,-1000.0
